fe,fmu,ftau,chi2,ndof,shape_normalized
0.1,0.7333333333,0.16666666666666666,0.14955449207651803,25,True
0.1,0.7666666667,0.13333333333333333,0.1713656441912493,25,True
0.1,0.8,0.1,0.19377973767222592,25,True
0.1,0.8333333333,0.06666666666666667,0.21668952058611082,25,True
0.1,0.8666666667,0.03333333333333333,0.24000053786640513,25,True
0.1,0.9,0.0,0.26362957290911304,25,True
0.1333333333,0.0,0.8666666666666667,0.4434674794508632,25,True
0.1333333333,0.0333333333,0.8333333333333334,0.3423835706454013,25,True
0.1333333333,0.0666666667,0.8,0.25947088542927277,25,True
0.1333333333,0.1,0.7666666666666666,0.1920353766051073,25,True
0.1333333333,0.1333333333,0.7333333333333333,0.13781862768372907,25,True
0.1333333333,0.1666666667,0.7,0.09491919211628311,25,True
0.1333333333,0.2,0.6666666666666666,0.061729697491519325,25,True
0.1333333333,0.2333333333,0.6333333333333333,0.03688624435381932,25,True
0.1333333333,0.2666666667,0.6,0.019227461474597723,25,True
0.1333333333,0.3,0.5666666666666667,0.007761192412197324,25,True
0.1333333333,0.3333333333,0.5333333333333333,0.0016372511431094017,25,True
0.1333333333,0.3666666667,0.5,0.00012503296186360842,25,True
0.1333333333,0.4,0.4666666666666667,0.0025950299779945096,25,True
0.1333333333,0.4333333333,0.43333333333333335,0.008503503711238893,25,True
0.1333333333,0.4666666667,0.4,0.017379722883296374,25,True
0.1333333333,0.5,0.36666666666666664,0.028815295122393433,25,True
0.1333333333,0.5333333333,0.3333333333333333,0.0424552158816983,25,True
0.1333333333,0.5666666667,0.3,0.05799033120155033,25,True
0.1333333333,0.6,0.26666666666666666,0.07515096953555454,25,True
0.1333333333,0.6333333333,0.23333333333333334,0.09370154414471897,25,True
0.1333333333,0.6666666667,0.2,0.11343596373542918,25,True
0.1333333333,0.7,0.16666666666666666,0.13417371897984678,25,True
0.1333333333,0.7333333333,0.13333333333333333,0.15575653617781676,25,True
0.1333333333,0.7666666667,0.1,0.17804550790152252,25,True
0.1333333333,0.8,0.06666666666666667,0.20091862648467157,25,True
0.1333333333,0.8333333333,0.03333333333333333,0.22426865870074641,25,True
0.1333333333,0.8666666667,0.0,0.24800130991444366,25,True
0.1666666667,0.0,0.8333333333333334,0.4433452654948397,25,True
0.1666666667,0.0333333333,0.8,0.34106769696233474,25,True
0.1666666667,0.0666666667,0.7666666666666666,0.25740476470328305,25,True
0.1666666667,0.1,0.7333333333333333,0.18956391691128907,25,True
